,drop ratio,pb,roe,market cap (in Bil),price on 04-09,Debt/Eq,Dividend %
RL,0.590805558,1.83,21.60%,5.34,80.41000366,0.29,3.59%
DISCK,0.591980589,1.42,-,,20.13999939,-,-
TXT,0.593198464,1.14,15.10%,6.28,29.44000053,0.69,0.29%
URI,0.597099964,2.13,32.80%,8.34,107.7099991,2.98,-
AAP,0.59847032,2.26,13.70%,8.01,106.8600006,0.21,0.87%
CE,0.602936484,3.9,30.50%,9.78,83.91000366,1.56,3.05%
MET,0.603594767,0.48,8.90%,29.76,35.45999908,0.25,5.11%
REG,0.604747465,1.19,3.80%,7.36,44.11999893,0.63,5.32%
WMB,0.607142854,1.58,6.10%,20.99,16.59000015,1.67,9.24%
MTB,0.60769467,0.99,12.80%,14.38,114.75,0.48,3.66%
DISCA,0.609143738,1.19,16.20%,11.80,22.31999969,1.58,-
LVS,0.609826547,7.13,49.90%,35.75,47.86000061,2.41,6.57%
WHR,0.610730657,2.05,40.20%,6.56,104.75,1.56,4.64%
LUV,0.614957285,1.86,23.30%,18.29,36.47000122,0.27,2.07%
AMP,0.616348607,2.57,32.10%,14.74,120.4700012,3.38,3.39%
BAC,0.616739593,0.89,10.60%,213.89,24.86000061,1.77,3.03%
RTX,0.617521346,1.33,13.60%,95.48,64.70999908,1.04,4.52%
ALGN,0.617772408,11.09,33.50%,14.28,193.1900024,0,-
SWK,0.618498956,2.26,12.80%,17.05,119.3700027,0.42,2.39%
WAB,0.618558275,1.01,3.30%,9.47,55.25999832,0.44,0.92%
PH,0.618863449,2.88,22.40%,18.25,145.1699982,1.54,2.48%
SIVB,0.62155441,1.45,19.80%,8.88,185.6900024,0.06,-
GPC,0.627305059,2.93,17.10%,11.02,71.66999817,0.93,4.26%
RHI,0.628182439,4.16,40.90%,4.76,43.27999878,0,3.26%
FLIR,0.628201698,2.5,9.10%,4.74,34.5,0.36,1.95%
TSN,0.629916315,1.55,14.50%,21.49,60.93999863,0.81,2.74%
EMR,0.62999517,3.66,25.50%,31.08,51.77999878,0.71,3.96%
KMX,0.633355877,2.86,25.00%,10.58,66.5,4.08,-
EMN,0.634640744,1.29,12.80%,7.66,59.70999908,0.97,4.68%
CVX,0.634690568,1.1,1.90%,161.09,84.30999756,0.19,6.10%
GE,0.638379945,2.14,-17.10%,61.93,7.139999866,3.21,0.58%
SNA,0.642744984,1.87,21.00%,6.37,122.1200027,0.34,3.72%
BKNG,0.642763625,10.19,80.70%,60.45,1420.640015,1.45,-
BEN,0.644976593,0.8,12.60%,8.29,16.80999947,0.08,6.62%
PBCT,0.647500433,0.64,7.30%,4.91,12.30000019,0.13,6.11%
NTAP,0.647744085,34.51,147.10%,9.75,42.72999954,6.52,4.45%
IT,0.649703692,10.09,25.40%,9.27,106.8899994,2.33,-
NUE,0.652430306,1.12,12.30%,11.65,39.43000031,0.42,4.19%
PPG,0.653174334,4.16,24.20%,21.98,97.16999817,0.96,2.20%
CBRE,0.654390508,2.36,23.10%,14.63,45.61000061,0.46,-
PNR,0.654953687,2.78,19.00%,5.43,32.84000015,0,2.36%
JPM,0.654987059,1.28,14.80%,299.86,102.7600021,1.24,3.77%
SEE,0.658616681,-,-92.60%,4.56,30.79999924,-,2.16%
AFL,0.660043907,0.96,11.70%,27.07,38.08000183,0.22,2.96%
ZBH,0.661358742,1.89,9.50%,23.67,110.3600006,0.66,0.85%
CTAS,0.661587028,6.32,31.20%,20.32,198.7400055,0.82,1.26%
JCI,0.662068619,1.23,27.60%,23.71,30.60000038,0.38,3.38%
OMC,0.663786035,4.25,52.80%,12.14,56.79999924,1.85,4.68%
IPG,0.66428821,2.24,26.30%,6.21,16.28000069,1.2,6.36%
WDC,0.664985238,1.42,-12.20%,13.47,45.04999924,1.05,4.47%
MCHP,0.6671386,3.49,12.00%,19.90,78.44999695,1.71,1.79%
TEL,0.667172758,2.22,15.30%,23.44,71.16999817,0.38,2.63%
UHS,0.66901654,1.7,14.90%,9.55,104.5100021,0.72,0.74%
MLM,0.670774649,2.37,11.80%,12.67,208.1900024,0.52,1.08%
BXP,0.672627509,2.98,9.20%,15.47,106,2.19,3.71%
LB,0.674603616,-,32.00%,3.80,14.93000031,-,-
AES,0.675489701,3.12,9.60%,9.34,14.72000027,6.73,4.07%
BBY,0.675510591,5.25,46.50%,17.53,65.98999786,0.37,3.15%
L,0.675764455,0.58,4.80%,10.21,39.41999817,0.6,0.67%
XRAY,0.675771901,1.78,5.10%,9.04,41.86999893,0.28,0.98%
DIS,0.675996024,2.13,11.60%,191.38,104.5,0.54,1.66%
STT,0.676198353,1.02,9.30%,21.90,60.95000076,0.67,3.43%
GL,0.676299051,1.19,11.10%,8.65,80.40000153,0.23,0.94%
HAS,0.676925281,3.3,25.40%,10.02,75.66999817,1.35,3.64%
AIV,0.676983949,3.29,26.60%,5.86,39.97000122,0,4.15%
DHI,0.677965471,1.45,18.00%,14.21,41.04000092,0.37,1.74%
BK,0.680023784,0.87,11.30%,33.12,37.13999939,0.74,3.41%
NWL,0.680181353,1.18,2.20%,5.89,14.14999962,1.15,6.67%
AXP,0.681447681,3.11,29.00%,71.86,94.81999969,5.96,1.95%
GLW,0.682571192,1.37,7.90%,15.33,21.18000031,0.73,4.25%
HOLX,0.683656276,5,3.80%,11.25,41.11000061,1.37,-
IP,0.684876607,1.71,16.30%,12.81,34.16999817,1.27,6.10%
LEN,0.686739482,0.83,-,12.61,44.79999924,0.57,1.16%
O,0.686829826,1.89,4.90%,18.13,56.68000031,0.81,4.97%
PPL,0.68718569,1.53,14.20%,19.69,26.70000076,1.77,6.26%
APH,0.687882853,5.41,27.20%,24.51,81.91000366,0.8,1.21%
GS,0.692900243,0.82,9.90%,64.57,184.2599945,7.56,2.81%
YUM,0.694266513,-,-16.20%,24.21,80.37000275,-,2.35%
RE,0.694540083,0.9,11.30%,7.72,212.3000031,0.07,3.05%
PEAK,0.698963058,2.23,0.70%,13.01,28.35000038,1.04,5.41%
NVR,0.699014004,4.55,40.20%,10.73,2928.01001,0.26,-
RJF,0.699391546,1.35,16.00%,8.95,69.44000244,3.75,2.21%
WU,0.707089535,-,-,8.31,20.19000053,-,4.46%
ULTA,0.709624823,6.14,37.50%,11.43,202.4799957,0,-
CB,0.712144807,1,8.20%,55.45,122.2699966,0.27,2.45%
AVB,0.713021413,2.12,7.20%,22.58,167.3600006,0.67,3.81%
AZO,0.714229245,-,-95.50%,23.03,940.8300171,-,-
NRG,0.715858418,4.59,-573.00%,7.60,30.76000023,3.55,3.95%
BSX,0.720442235,3.61,44.50%,47.94,36.83000183,0.72,-
SCHW,0.721383827,2.45,18.80%,46.55,36.54000092,12.01,1.99%
CTL,0.722413397,0.82,-38.80%,10.32,10.64999962,2.58,9.75%
VAR,0.723574812,5.55,15.60%,10.41,113.1500015,0.29,-
ORLY,0.723732133,67.88,514.90%,26.27,342.4400024,9.79,-
ROST,0.724341166,9.59,50.30%,32.49,88.73999786,0,1.12%
ESS,0.724698616,2.68,7.10%,16.70,246.9600067,0.93,3.29%
EIX,0.725073357,1.62,10.80%,20.73,60.27000046,1.42,4.26%
DOV,0.725341824,4.19,22.90%,12.66,89.41000366,1.02,2.23%
SWKS,0.72678816,3.82,19.90%,16.78,89.94999695,0,1.84%
ZBRA,0.730381118,6.07,33.20%,11.17,201.2200012,0.69,-
LOW,0.730952988,38.25,165.60%,75.49,95.30999756,9.79,2.22%
MYL,0.731684149,0.71,0.10%,8.44,16.07999992,1.07,-
WBA,0.732767258,1.73,14.70%,39.86,43.97999954,0.75,3.95%
TRV,0.733588448,1.07,10.30%,27.73,109.7399979,0.25,3.04%
AME,0.734071112,3.49,18.00%,17.85,78.23000336,0.54,0.92%
NLOK,0.735274679,1.37,57.30%,11.57,19.37000084,0.51,2.62%
CINF,0.737023818,1.44,21.60%,13.71,83.58000183,0.09,2.76%
NTRS,0.737222985,1.79,14.50%,17.56,84.88999939,12.32,3.36%
GD,0.741178182,2.95,26.70%,39.16,141.0099945,0.9,3.18%
MAS,0.741641654,-,-600.30%,10.26,40.36999893,-,1.36%
PAYX,0.741999261,8.59,42.30%,23.20,66.54000092,0.31,3.75%
ANTM,0.742822225,2.01,15.50%,64.74,242.4600067,0.63,1.51%
VMC,0.743544411,2.65,11.40%,14.89,113.0999985,0.5,1.21%
GWW,0.745164807,8.36,44.40%,14.92,279.8699951,1.19,2.00%
HSIC,0.745675482,2.6,24.30%,7.70,52.25,0.25,-
CPRT,0.747641476,7.79,39.40%,15.96,74.98999786,0.19,-
DTE,0.748098525,1.77,10.80%,19.47,111.25,1.5,3.74%
T,0.751510016,1.24,7.50%,227.65,30.72999954,0.89,6.68%
HON,0.755009622,5.42,33.50%,100.31,143.4299927,0.87,2.56%
EQR,0.756312339,2.49,9.50%,25.58,69.41999817,0.88,3.50%
MO,0.757879222,12.61,-11.50%,78.47,40.90999985,4.51,7.98%
TJX,0.759176835,10.15,59.70%,60.52,48.81000137,0.38,1.83%
LH,0.759848551,1.86,11.30%,14.08,146.8000031,0.83,-
ROK,0.759879426,26.42,102.40%,19.05,167.6399994,3.18,2.49%
TGT,0.760804288,4.64,28.30%,54.52,104.1999969,0.97,2.44%
GRMN,0.76133668,3.25,21.60%,15.38,78.65000153,0,2.98%
SBUX,0.76159847,-,-66.70%,86.96,73.87999725,-,2.23%
IRM,0.761718753,5.23,16.70%,7.66,27.11000061,5.96,9.26%
CTSH,0.762023763,2.68,17.00%,28.09,54.27999878,0.07,1.63%
AVGO,0.763856156,4.37,10.90%,109.86,254.3000031,1.84,3.96%
NSC,0.764093628,2.66,17.80%,43.05,159.3000031,0.8,2.42%
IPGP,0.765912745,2.67,7.70%,6.31,119.0500031,0.02,-
SRE,0.765984485,2.06,12.80%,34.97,130.5299988,1.46,3.09%
DGX,0.76621265,2.09,15.50%,11.77,89.76999664,0.85,2.49%
ADM,0.766699236,1.09,7.30%,20.85,37.58000183,0.46,3.87%
STZ,0.768026654,2.75,6.50%,30.52,166.2400055,1.06,1.79%
PKI,0.768727196,3.03,8.40%,8.67,78.33999634,0.74,0.36%
SYK,0.770223487,5.13,17.10%,63.48,182.7200012,0.87,1.31%
HPQ,0.770665372,-,-222.40%,23.15,15.97000027,-,4.40%
GPN,0.770681818,1.58,2.70%,44.13,151.0299988,0.34,0.53%
WRB,0.770989702,1.85,11.40%,10.19,58.31999969,0.43,0.75%
CMI,0.771991805,2.98,28.80%,22.40,150.6999969,0.32,3.54%
ADI,0.772197274,3.25,-,38.94,98.79000092,0.47,2.41%
EL,0.773055077,12.99,41.20%,59.65,164.8300018,1.13,1.16%
PWR,0.773851333,1.21,10.40%,4.84,33.54999924,0.34,0.59%
TAP,0.77428006,0.75,1.80%,9.79,47.40000153,0.67,4.90%
PKG,0.774528504,2.7,23.40%,8.30,90.45999908,0.81,3.57%
UDR,0.777052719,3.48,5.90%,11.54,41.11999893,1.42,3.66%
MMC,0.779057704,6.46,22.20%,50.32,96.61000061,1.53,1.83%
AVY,0.780783836,7.65,28.10%,9.22,115.0299988,1.61,2.10%
CVS,0.781812296,1.26,10.70%,80.27,60.47000122,1.07,3.25%
FDX,0.782521365,1.73,-1.90%,33.55,122.2900009,1.03,2.08%
BR,0.783027511,10.9,36.20%,12.27,105.9100037,1.64,2.02%
QCOM,0.783324832,19.68,90.50%,90.81,71.58000183,3.53,3.20%
MMM,0.786157689,8.6,45.10%,87.08,147.7799988,2.03,3.92%
ETR,0.787135722,1.96,12.70%,19.74,102.9100037,1.95,3.70%
CMCSA,0.790263183,2.12,16.70%,173.91,38,1.3,2.39%
ETFC,0.790338474,1.55,15.20%,9.10,41.75999832,6.84,1.38%
EXC,0.790869675,1.18,9.20%,38.13,39.15000153,1.17,3.92%
UNP,0.791509525,5.69,32.90%,101.69,148.7299957,1.39,2.60%
PEG,0.792358208,1.79,11.40%,25.95,52.95000076,1.08,3.66%
ALB,0.792724742,1.72,14.00%,6.75,67.01999664,0.78,2.42%
CMG,0.793236927,12.96,22.10%,21.81,771,0,-
FMC,0.793836002,4.44,17.80%,11.24,90,1.29,2.03%
PCAR,0.794180694,2.39,24.90%,22.86,67.26999664,1.16,1.92%
SHW,0.794598894,11.21,40.20%,45.94,492.1499939,2.11,1.06%
ADP,0.794843483,11.57,46.10%,62.08,142.5200043,0.37,2.53%
AIZ,0.798730191,1.17,6.50%,6.59,112.3899994,0.36,2.34%
KLAC,0.799545764,9.53,42.00%,25.73,150.1199951,1.27,2.10%
MAA,0.799937031,2.45,5.80%,14.86,116.6500015,0.73,3.51%
DE,0.800422522,3.63,27.50%,43.62,145.75,3.76,2.20%
TFX,0.803611512,5.15,16.70%,15.33,325.5599976,0.64,0.41%
ETN,0.803812393,2.06,13.70%,33.05,81.44000244,0.52,3.66%
WAT,0.805271957,-,166.40%,12.00,195.9299927,-,-
FFIV,0.805322724,3.87,23.30%,7.46,125.3899994,0,-
MU,0.805847859,1.43,6.30%,55.44,46.13000107,0.15,-
UPS,0.806456544,26.75,106.40%,87.14,98.69000244,7.73,3.98%
JBHT,0.80650252,4.6,23.50%,10.36,99.19000244,0.57,1.10%
MDT,0.806928521,2.62,10.50%,135.66,101.0299988,0.49,1.98%
FISV,0.807020119,2,5.10%,64.94,99.22000122,0.66,-
DLTR,0.808246514,3.02,13.80%,19.32,77.55999756,0.6,-
TROW,0.80932153,3.36,30.90%,23.87,105.1600037,0,3.53%
ADSK,0.809328539,-,-114.40%,37.89,164.8999939,-,-
CSX,0.810603246,4.09,27.50%,48.47,64,1.37,1.66%
MXIM,0.811349298,8.33,44.70%,14.76,51.79000092,0,3.61%
AON,0.814374563,13.49,39.60%,45.54,192.0500031,2.2,0.91%
ITW,0.814514888,16.57,82.10%,49.40,159.2799988,2.56,2.74%
XLNX,0.815149933,8.15,32.40%,21.74,83.11000061,0,1.72%
IEX,0.815411819,5.03,19.80%,11.41,151.5200043,0.38,1.33%
WM,0.815874265,5.98,25.00%,42.30,99.84999847,1.91,2.06%
ALL,0.818315729,1.38,20.60%,32.82,100.3399963,0.28,2.11%
STX,0.819345301,7.37,91.00%,13.36,51.25,2.26,5.06%
ISRG,0.820324609,7.11,18.20%,60.09,503.7900085,0,-
NKE,0.821847053,15.06,47.10%,133.68,86.79000092,0.38,1.12%
KO,0.821850057,11.04,48.80%,209.62,49,2.25,3.35%
LIN,0.824831733,2.08,4.60%,101.87,189.4799957,0.28,2.03%
LRCX,0.826255136,8.96,42.90%,40.96,258.2799988,1.02,1.69%
EW,0.8283238,10.88,28.10%,45.16,215.4400024,0,-
ILMN,0.830279338,9.49,23.10%,43.79,287.6199951,0.25,-
EFX,0.830510402,6.1,-15.60%,15.63,124.2200012,1.31,1.20%
ECL,0.831387489,6,18.50%,52.14,179.8600006,0.73,1.04%
IBM,0.834381336,5.28,51.70%,108.08,121.5,3.02,5.23%
CSCO,0.837566656,5.11,31.50%,183.80,41.20000076,0.45,3.27%
MA,0.838954515,46.28,154.50%,270.72,269.3999939,1.45,0.59%
JNPR,0.839676248,1.64,7.40%,7.64,21.67000008,0.37,3.56%
FE,0.841483157,3.53,12.80%,24.60,44.75,3.01,3.43%
RSG,0.842649592,3.12,13.40%,25.33,81.81999969,1.07,2.05%
KSU,0.842857247,3.07,11.40%,13.71,136.6000061,0.73,1.15%
PNW,0.842980676,1.7,10.00%,9.21,82.23000336,1.06,3.83%
MSI,0.843303031,-,-89.50%,25.33,152.8899994,-,1.68%
UNH,0.844456705,4.45,25.50%,260.18,264.1300049,0.71,1.60%
ALXN,0.845281249,1.95,23.20%,22.61,96.23000336,0.23,-
MRK,0.848016981,8.14,36.50%,210.74,82.48999786,1.02,2.95%
GOOGL,0.848138965,4.33,17.80%,871.06,1206.569946,0,-
WLTW,0.848312565,2.5,10.40%,25.61,196.0200043,0.55,1.38%
AEP,0.849200188,2.17,9.80%,41.19,86.30999756,1.52,3.25%
PFE,0.849481567,3.23,26.40%,204.06,35.38999939,0.83,4.17%
CI,0.851027636,1.52,11.60%,70.73,181.8300018,0.83,0.02%
GOOG,0.851668816,4.34,-,864.24,1211.449951,-,-
MCD,0.852921897,-,-79.90%,137.83,183.6999969,-,2.72%
HUM,0.853484097,3.88,23.40%,46.65,341.8999939,0.49,0.71%
EBAY,0.854716272,10.04,46.20%,27.76,33.83000183,2.7,1.79%
BDX,0.855610328,3.19,3.60%,68.36,247.4499969,0.92,1.27%
AJG,0.855878511,3.15,13.50%,16.07,86.83999634,0.89,2.08%
PM,0.856437574,-,-62.70%,119.09,75.33999634,-,6.06%
A,0.856918229,5.04,15.70%,24.44,78.33000183,0.51,0.91%
FAST,0.857464474,7.41,31.20%,19.77,33.61999893,0.13,2.90%
MKC,0.857632746,5.72,20.20%,20.37,154.3000031,1.25,1.62%
APD,0.858608138,4.22,16.70%,48.77,219.3200073,0.29,2.43%
HD,0.861513591,-,-599.50%,224.57,201.5299988,-,2.90%
AMGN,0.862059816,13.91,74.30%,134.37,218.2100067,3.09,2.82%
MTD,0.864596294,41,116.60%,17.39,727.4199829,3.07,-
IFF,0.865092093,2.2,7.40%,13.71,127.3700027,0.7,2.45%
CERN,0.865110382,4.99,11.40%,21.52,68.37999725,0.24,1.04%
ROP,0.865155125,3.51,20.50%,34.20,315.4500122,0.56,0.64%
V,0.867725933,12.64,40.70%,377.84,173.6900024,0.56,0.69%
CME,0.867727094,2.57,8.00%,67.23,190.1600037,0.15,1.81%
FIS,0.868136357,1.54,1.00%,76.08,125.1200027,0.41,1.13%
SO,0.870345466,2.26,17.50%,62.25,60.33000183,1.7,4.20%
CRM,0.871781071,4.14,0.50%,138.02,154.5500031,0.09,-
AAPL,0.872818436,14.15,60.20%,1267.34,267.9899902,1.22,1.07%
ARE,0.873472654,2,4.40%,18.32,157.8000031,0.76,2.65%
BLK,0.875348985,2.12,13.90%,71.08,471.4200134,0.15,3.17%
ABMD,0.87605243,6.96,24.70%,7.28,160.0800018,0,-
INTU,0.880913258,18.3,43.00%,66.40,252.1000061,0.11,0.81%
EXPD,0.88189263,5.48,27.50%,12.03,71.48000336,0,1.42%
BMY,0.882535438,2.23,13.70%,134.32,58.90999985,0.91,3.00%
COO,0.886837493,3.95,12.50%,16.07,296.5700073,0.48,0.02%
J,0.886888563,1.81,-,10.83,81.30999756,0.27,0.93%
EVRG,0.887143657,1.66,7.50%,14.23,63.09999847,1.17,3.04%
CHRW,0.887714393,5.78,34.70%,9.27,73.22000122,0.79,2.87%
ICE,0.888466153,2.8,11.30%,46.66,87.37999725,0.45,1.38%
LNT,0.892174934,2.48,11.40%,12.67,53.13999939,1.25,2.83%
LMT,0.892189191,34.21,202.00%,104.35,371,4.05,2.53%
ANSS,0.894030665,6.29,15.20%,22.40,237.9199982,0.14,-
TMO,0.894160715,4.4,12.80%,130.55,317.3800049,0.6,0.27%
ED,0.896949224,1.65,7.60%,28.43,87.94000244,1.2,3.43%
ATO,0.897391294,2.14,-,13.09,105.1999969,0.71,2.13%
MNST,0.897414502,8.3,27.60%,34.44,60.50999832,0,-
DUK,0.899264841,1.48,8.30%,62.84,90.30999756,1.37,4.18%
K,0.89926934,7.89,36.00%,21.69,62.74000168,2.88,3.58%
LHX,0.899714729,1.93,11.40%,43.85,190.7899933,0.31,1.73%
NOC,0.901668685,6.66,24.60%,58.74,336.6499939,1.57,1.51%
PRGO,0.901877879,1.22,2.50%,7.11,50.45000076,0.58,1.72%
D,0.902864881,2.29,4.90%,65.92,81.58999634,1.28,4.58%
VZ,0.903840491,3.92,33.10%,242.21,57.43999863,1.82,4.23%
DHR,0.904821142,3.8,9.80%,105.59,145.7299957,0.76,0.47%
PLD,0.907917327,2.49,7.00%,61.90,91.73000336,0.53,2.60%
PG,0.911173581,6.74,9.60%,299.85,114.6600037,0.63,2.46%
SPGI,0.912860666,141.5,510.30%,67.64,283.5499878,0,0.97%
INCY,0.913432312,7.58,19.10%,20.00,86.80999756,0.02,-
NDAQ,0.914034972,3.14,14.10%,17.13,107.9199982,0.6,1.75%
MCO,0.917006765,73.16,364.50%,44.79,241.6799927,9.12,0.94%
PEP,0.921976957,13.04,51.30%,192.79,133.6300049,2.17,2.76%
TSCO,0.92278359,7.02,36.90%,11.09,88.23000336,0.27,1.51%
JNJ,0.924171933,6.46,25.50%,390.52,141.2299957,0.47,2.60%
MDLZ,0.924933851,2.88,14.60%,78.6,52.34000015,0.68,2.09%
ABT,0.925311634,5.07,11.70%,157.6,86.04000092,0.58,1.62%
IDXX,0.926243047,127.06,283.90%,22.58,258.5799866,5,-
EXR,0.927245521,4.87,17.00%,12.37,102.9100037,1.99,3.76%
INTC,0.928842652,3.37,28.00%,268.02,57.13999939,0.37,2.18%
DRE,0.930288689,2.61,8.90%,12.33,35.56000137,0.58,2.64%
SNPS,0.932238518,5.34,12.00%,22.52,136.5800018,0.08,-
LDOS,0.934611789,3.92,20.10%,13.55,95.45999908,0.87,1.42%
PSA,0.93657297,7.15,25.40%,34.15,208.5899963,0.38,3.90%
CMS,0.937024639,3.52,13.80%,17.64,62.33000183,2.63,2.62%
ADBE,0.939173501,15.7,31.40%,164.25,318.7000122,0.39,-
CHD,0.940556764,6.64,23.80%,17.79,68.38999939,0.77,1.33%
STE,0.940719037,3.94,12.10%,13.33,152.6900024,0.34,0.94%
ORCL,0.941667775,12.11,61.50%,166.93,53.18000031,3.63,1.78%
CNC,0.942671693,2.19,10.90%,38.22,66.41999817,1.09,-
HSY,0.942881201,17.56,69.90%,30.54,143.9100037,2.45,2.11%
